Paquete;Version;Ruta
opencv-contrib-python;4.11.0.86;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
opencv-python;4.11.0.86;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
ordered-set;4.1.0;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
packaging;25.0;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
pefile;2023.2.7;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
pillow;11.2.1;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
pip;25.1.1;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
platformdirs;4.3.8;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
protobuf;6.30.2;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
pycparser;2.22;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
pyinstaller;6.13.0;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
pyinstaller-hooks-contrib;2025.4;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
pyparsing;3.2.3;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
pytesseract;0.3.13;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
python-dateutil;2.9.0.post0;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
pytz;2025.2;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
pywin32-ctypes;0.2.3;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
PyYAML;6.0.2;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
realesrgan;0.3.0;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
requests;2.32.3;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
scikit-image;0.25.2;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
scipy;1.15.3;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
setuptools;80.3.1;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
six;1.17.0;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
sympy;1.14.0;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
tb-nightly;2.20.0a20250509;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
tensorboard-data-server;0.7.2;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
tifffile;2025.3.30;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
tk;0.1.0;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
torch;2.7.0;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
torchvision;0.22.0;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
tqdm;4.67.1;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
urllib3;2.4.0;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
Werkzeug;3.1.3;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
wheel;0.45.1;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
yapf;0.43.0;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
zope.event;5.0;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
zope.interface;7.2;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
zstandard;0.23.0;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
